"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,106,"IDN","Indonesia",1,"Aceh","Propinsi","Autonomous Province",NA,"Achin|Atjeh|Nanggroe Aceh Darussalam"
2,106,"IDN","Indonesia",2,"Bali","Propinsi","Province",NA,"Penida|Lembongan|Ceningan|Menjangan"
3,106,"IDN","Indonesia",3,"Bangka-Belitung","Propinsi","Province",NA,"Babel|Kepulauan Bangka Belitung"
4,106,"IDN","Indonesia",4,"Banten","Propinsi","Province",NA,NA
5,106,"IDN","Indonesia",5,"Bengkulu","Propinsi","Province",NA,"Bencoolen|Benkoelen|Benkulen"
6,106,"IDN","Indonesia",6,"Gorontalo","Propinsi","Province",NA,NA
7,106,"IDN","Indonesia",7,"Irian Jaya Barat","Propinsi","Province",NA,"New Guinea|Yos Sudarso or Frederick Hendrik|Waigeo|Supiori Biak|Yapen|Misool|Salawati|Batanta"
8,106,"IDN","Indonesia",8,"Jakarta Raya","Daerah Khusus Ibukota","Special district",NA,"Jawa|Djakarta"
9,106,"IDN","Indonesia",9,"Jambi","Propinsi","Province",NA,"Djambi"
10,106,"IDN","Indonesia",10,"Jawa Barat","Propinsi","Province",NA,"Jabar"
11,106,"IDN","Indonesia",11,"Jawa Tengah","City","City",NA,"Jateng"
12,106,"IDN","Indonesia",12,"Jawa Timur","Propinsi","Province",NA,"Jatim"
13,106,"IDN","Indonesia",13,"Kalimantan Barat","Propinsi","Province",NA,"West Kalimantan| Kalbar"
14,106,"IDN","Indonesia",14,"Kalimantan Selatan","Propinsi","Province",NA,"Kalsel"
15,106,"IDN","Indonesia",15,"Kalimantan Tengah","Propinsi","Province",NA,"Kalteng"
16,106,"IDN","Indonesia",16,"Kalimantan Timur","Propinsi","Province",NA,"Kaltim"
17,106,"IDN","Indonesia",17,"Kalimantan Utara","Propinsi","Province",NA,"Kaltim"
18,106,"IDN","Indonesia",18,"Kepulauan Riau","Propinsi","Province",NA,NA
19,106,"IDN","Indonesia",19,"Lampung","Propinsi","Province",NA,NA
20,106,"IDN","Indonesia",20,"Maluku Utara","Propinsi","Province",NA,"Malut"
21,106,"IDN","Indonesia",21,"Maluku","Propinsi","Province",NA,"Molucas||Moluccas|Molucche|Moluckerna|Moluqu"
22,106,"IDN","Indonesia",22,"Nusa Tenggara Barat","Propinsi","Province",NA,"NTB"
23,106,"IDN","Indonesia",23,"Nusa Tenggara Timur","Propinsi","Province",NA,"NTT"
24,106,"IDN","Indonesia",24,"Papua","Propinsi","Province",NA,"New Guinea|Yos Sudarso or Frederick Hendrik|Waigeo|Supiori Biak|Yapen|Misool|Salawati|Batanta"
25,106,"IDN","Indonesia",25,"Riau","Propinsi","Province",NA,"Rhio|Riou|Riouw"
26,106,"IDN","Indonesia",26,"Sulawesi Barat","Propinsi","Province",NA,"Sulsel"
27,106,"IDN","Indonesia",27,"Sulawesi Selatan","Propinsi","Province",NA,"Sulsel"
28,106,"IDN","Indonesia",28,"Sulawesi Tengah","Propinsi","Province",NA,"Sulteng"
29,106,"IDN","Indonesia",29,"Sulawesi Tenggara","Propinsi","Province",NA,"Sultra"
30,106,"IDN","Indonesia",30,"Sulawesi Utara","Propinsi","Province",NA,"Sulut"
31,106,"IDN","Indonesia",31,"Sumatera Barat","Propinsi","Province",NA,"Sumbar"
32,106,"IDN","Indonesia",32,"Sumatera Selatan","Propinsi","Province",NA,"Sumsel"
33,106,"IDN","Indonesia",33,"Sumatera Utara","Propinsi","Province",NA,"Sumut"
34,106,"IDN","Indonesia",34,"Yogyakarta","Daerah Istimewa","Special region",NA,"Jawa|Daerah Istimewa Yogyakarta"
